lang_code,lang_name,script,n_docs,n_words,n_tokens,fertility,continuation_rate,bytes_per_token,unk_rate,vocab_coverage,nsl,avg_token_len,grade,model
san,Sanskrit,Devanagari,1000,210223,695076,3.3064,0.7506,6.6398,0.0,0.7656,0.9021,2.1677,🟠 Marginal,google_gemma_4_31b_it
sat,Santali,Ol Chiki,110,21156,111542,5.2724,0.9253,2.5918,0.0,0.875,1.5166,0.9437,🔴 Poor,google_gemma_4_31b_it
snd,Sindhi,Perso-Arabic,1000,315919,663014,2.0987,0.7009,3.889,0.0,0.6719,0.9301,1.7611,🟡 Good,google_gemma_4_31b_it
tam,Tamil,Tamil,1000,158190,385540,2.4372,0.8884,9.815,0.0,0.7222,0.9572,3.2559,🟡 Good,google_gemma_4_31b_it
tel,Telugu,Telugu,1000,179998,530415,2.9468,0.914,7.1089,0.0,0.65,1.018,2.379,🟠 Marginal,google_gemma_4_31b_it
urd,Urdu,Perso-Arabic,1000,319560,465361,1.4563,0.5678,5.5375,0.0,0.6719,0.8091,2.4517,🟢 Excellent,google_gemma_4_31b_it
asm,Assamese,Assamese,1000,201352,844257,4.1929,0.9574,3.8798,0.0,0.0,1.3091,3.6445,🔴 Poor,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
ben,Bengali,Bengali,1000,222386,641774,2.8859,0.9517,5.9528,0.0,0.0,1.0789,5.6114,🟠 Marginal,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
brx,Bodo,Devanagari,1000,180480,682265,3.7803,0.9291,4.7443,0.0,0.0,1.2104,4.4751,🟠 Marginal,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
doi,Dogri,Devanagari,54,6775,13864,2.0463,0.6307,5.4108,0.0,0.0,1.0068,4.9362,🟡 Good,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
eng,English,Latin,1000,263744,360306,1.3661,0.3847,4.403,0.0,1.0,0.8783,3.683,🟢 Excellent,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
